Text: "DQueue" -> Center: {x: 450, y: 818}
Text: "member_dqueue_885722" -> Center: {x: 772, y: 99}
Text: "NaN / 2" -> Center: {x: 450, y: 293}
Text: "dq005" -> Center: {x: 450, y: 293}
Text: "NaN / 2" -> Center: {x: 855, y: 293}
Text: "dq006" -> Center: {x: 855, y: 293}
Text: "ไม่ชัดเจน" -> Center: {x: 450, y: 190}
Text: "เลือกหมวดหมู่" -> Center: {x: 267, y: 479}
Text: "ร้านอาหาร" -> Center: {x: 180, y: 600}
Text: "ร้านอาหาร" -> Center: {x: 180, y: 669}
Text: "คลินิก" -> Center: {x: 360, y: 600}
Text: "คลินิก" -> Center: {x: 360, y: 669}
Text: "เสริมสวย" -> Center: {x: 540, y: 600}
Text: "เสริมสวย" -> Center: {x: 540, y: 669}
Text: "อื่นๆ" -> Center: {x: 720, y: 600}
Text: "อื่นๆ" -> Center: {x: 720, y: 669}
Text: "เลือกจองคิวเลย" -> Center: {x: 264, y: 880}
Text: "ร้านใกล้คุณ" -> Center: {x: 217, y: 920}
Text: "ซีถา อาม่า 西塔老太太 Xita Ama" -> Center: {x: 447, y: 1011}
Text: "เซ็นทรัลเวิลด์ ชั้น 7 โซน เอ" -> Center: {x: 447, y: 1050}
Text: "0.4 km" -> Center: {x: 312, y: 1092}
Text: "รออยู่" -> Center: {x: 741, y: 1012}
Text: "0" -> Center: {x: 741, y: 1054}
Text: "คิว" -> Center: {x: 741, y: 1093}
Text: "Nong Geng Ji" -> Center: {x: 447, y: 1190}
Text: "Central World ชั้น 7" -> Center: {x: 447, y: 1228}
Text: "0.5 km" -> Center: {x: 312, y: 1271}
Text: "รออยู่" -> Center: {x: 741, y: 1189}
Text: "0" -> Center: {x: 741, y: 1231}
Text: "คิว" -> Center: {x: 741, y: 1271}
Text: "HOTPOTMAN สาทร" -> Center: {x: 447, y: 1368}
Text: "สาขาสาทร" -> Center: {x: 447, y: 1406}
Text: "4.5 km" -> Center: {x: 312, y: 1448}
Text: "รออยู่" -> Center: {x: 740, y: 1367}
Text: "352" -> Center: {x: 741, y: 1409}
Text: "คิว" -> Center: {x: 740, y: 1450}
Text: "Shimi shabu ประดิพัทธ์" -> Center: {x: 447, y: 1545}
Text: "ซอย ประดิพัทธ์ 19" -> Center: {x: 447, y: 1583}
Text: "5.1 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 741, y: 1544}
Text: "0" -> Center: {x: 741, y: 1574}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "เรียวตะ ชาบู" -> Center: {x: 0, y: 0}
Text: "เรียวตะ ชาบู" -> Center: {x: 0, y: 0}
Text: "5.8 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "0" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "Park Terrace" -> Center: {x: 0, y: 0}
Text: "ห้วยขวาง" -> Center: {x: 0, y: 0}
Text: "5.8 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "0" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "HOTPOTMAN ห้วยขวาง" -> Center: {x: 0, y: 0}
Text: "สาขาห้วยขวาง" -> Center: {x: 0, y: 0}
Text: "6.1 km" -> Center: {x: 0, y: 0}
Text: "รออยู่" -> Center: {x: 0, y: 0}
Text: "546" -> Center: {x: 0, y: 0}
Text: "คิว" -> Center: {x: 0, y: 0}
Text: "KARAMIZU" -> Center: {x: 0, y: 0}
